ID,Group,Session1,Session2,
8,1,BL,SWD,
9,1,BL,SWD,
12,1,SWD,BL,
13,1,SWD,BL,
17,1,SWD,BL,
18,2,BL,SWD,
19,2,BL,SWD,
20,2,BL,SWD,
21,2,SWD,BL,
23,1,BL,SWD,
24,1,BL,SWD,
26,2,SWD,BL,
27,2,BL,SWD,
28,2,BL,SWD,
29,1,SWD,BL,
30,1,BL,SWD,
31,2,BL,SWD,
32,2,SWD,BL,
35,2,SWD,BL,
36,2,SWD,BL,
37,2,SWD,BL,
39,1,SWD,BL,
40,2,SWD,BL,
41,2,SWD,,**Dropped out during first night
44,2,BL,SWD,
45,2,BL,SWD,
47,1,SWD,BL,
49,2,BL,SWD,
50,2,SWD,BL,
52,1,SWD,BL,
53,2,BL,SWD,
54,2,BL,SWD,
55,1,SWD,BL,
62,2,BL,SWD,
63,2,SWD,BL,
70,1,SWD,BL,
71,2,BL,SWD,
72,2,BL,SWD,**Only got TMS data for session 1 due to equipment failure
73,1,BL,SWD,
74,1,SWD,BL,
76,1,BL,SWD,
78,1,BL,SWD,
